latitude,longitude
14.5398,75.0937
32.8353,76.9103
26.4816,82.8434
21.1495,86.7154
25.6339,84.0726
17.4331,80.187
23.6547,89.4296
26.4813,92.0622
26.988,92.926
28.886,80.7246
22.0189,71.1117
18.4311,80.713
26.5037,86.5429
30.9339,75.0459
19.1131,72.8962
15.1816,76.4736
24.8678,92.8291
26.4375,80.8611
33.8036,76.2592
16.2843,80.6926
26.7553,92.7754
26.7055,78.8703
27.5435,80.6956
22.4257,71.3244
26.0747,92.817
11.3982,77.0504
24.4696,92.4232
15.733,73.7324
26.6059,92.9592
20.9474,79.1574
20.2047,84.4178
28.3671,81.0334
24.707,85.7348
24.3395,87.8328
14.0025,79.4752
16.5216,75.9695
26.9122,94.46
20.5033,86.0449
24.8678,80.7003
13.0242,78.8487
24.9382,92.0974
25.1622,89.7567
27.9917,78.9675
13.407,75.4042
11.054,77.5024
12.5851,79.9572
20.6258,76.6191
31.7869,77.252
27.586,80.6237
31.7821,76.9177
31.7668,77.27
20.7866,79.2684
31.5294,77.0555
20.1358,84.4369
10.7214,78.7248
16.2498,80.0422
23.2582,92.8575
26.0363,92.8902
28.2424,76.8263
27.5887,88.4616
22.4615,87.3749
16.4132,80.612
26.5766,73.762
27.4105,92.3599
24.7685,85.6883
15.0341,78.7288
17.0009,81.7657
24.0572,86.2554
31.7905,77.3409
22.4404,71.3091
9.49041,76.6811
26.0909,92.9144
33.9398,74.8298
18.8234,75.4418
16.9874,82.1012
13.8493,78.9883
24.0181,68.8677
20.4037,74.4164
16.1464,79.4042
23.3997,88.9474
21.1735,85.3527
27.4268,94.7981
31.806,77.6925
27.094,94.643
17.1335,79.2098
26.9607,80.4678
19.9343,80.0385
24.0841,88.5453
15.811,74.5207
24.4457,92.0058
22.8284,71.2868
9.72651,76.423
21.0559,84.7987
30.7738,79.8583
32.6061,76.1481
26.7556,83.0513
26.5321,84.87
16.746,79.1214
14.8405,79.054
10.4517,78.7843
27.8034,95.3833
22.342,88.9351
20.8681,73.6623
25.8418,89.2696
30.5622,78.5235
21.5391,73.2201
11.8739,75.527
10.9485,79.0643
12.9158,74.9274
21.3961,73.44
21.9811,73.9596
19.1881,79.2948
20.6258,85.8936
12.1226,75.4747
25.4989,85.8918
21.0247,73.7641
24.6862,89.4002
31.6718,78.4423
21.433,73.0739
20.9765,86.4305
24.1288,80.1999
27.4363,87.0126
17.9836,73.435
16.9772,79.9654
20.9915,86.2759
25.886,83.2115
21.1139,82.5389
28.1973,79.3734
21.7139,73.4733
21.9409,87.9347
11.7804,78.7317
17.4335,82.8115
18.7332,75.2343
10.5443,76.0498
26.5993,94.0245
25.6151,83.6713
19.1719,83.6477
19.1028,72.8816
22.4114,71.3097
20.1943,73.8242
18.1046,81.5288
27.5853,81.5174
32.8864,73.8842
19.73,83.7466
14.1349,79.9324
33.4819,74.2156
26.2558,94.0189
14.945,78.1615
20.0539,81.8601
21.0263,77.5237
22.0231,72.2495
22.6315,88.4871
27.5773,95.263
10.3906,76.3115
20.4525,86.1978
22.6824,70.925
31.2388,76.5268
15.7067,79.878
20.9096,86.4033
24.7214,93.9705
12.725,79.7002
10.762,78.7172
26.4,93.755
22.1496,110.224
25.2411,90.1201
27.4995,89.7871
16.6523,81.3801
27.0442,94.5503
20.9522,84.4064
20.2249,84.7692
15.3059,74.7271
27.481,93.8215
26.5,85.5
27.629,80.7483
26.8177,94.143
22.5263,88.0605
15.7081,78.233
11.4729,77.8452
27.2504,94.6126
26.3166,91.8623
26.6381,93.1226
15.2182,79.4844
30.1895,74.7785
25.5869,86.1983
33.5267,76.1256
25.965,76.05
16.29,80.055
26.235,92.25
26.73,82.845
25.695,87.75
9.88679,78.4773
10.8365,76.7588
20.7933,85.8723
26.0844,86.1969
27.3624,94.0349
28.5244,80.9261
22.3056,88.3453
26.3755,86.2422
26.5897,92.1815
22.3021,73.9531
20.6511,86.0022
26.5659,92.4354
26.1094,86.557
30.1135,78.8529
19.4398,82.3216
20.9855,82.7962
31.3063,76.8569
26.8031,93.6379
11.8283,78.8042
32.7135,76.6135
21.9781,82.5285
27.387,94.9182
21.2719,84.2495
24.7174,85.9321
27.8115,94.716
20.7752,84.1258
27.3852,79.7586
26.1795,86.2537
27.6132,94.6542
26.7465,92.4891
18.4473,79.6967
10.2916,78.2616
33.1767,76.4058
10.7121,79.1771
26.9195,93.8747
21.8734,70.7643
26.2074,82.6165
26.8946,93.751
11.8278,78.8554
27.464,95.6068
27.068,93.949
22.8107,80.8349
21.7477,73.4119
25.6099,85.1898
17.6536,80.3401
27.6131,94.9387
21.898,70.9375
22.9061,88.0848
28.1657,79.076
10.489,79.0039
14.3584,75.4408
26.8948,93.3551
33.3752,75.1439
20.9795,73.783
19.5656,74.5501
12.5238,75.6883
9.39943,76.7275
27.2914,94.1222
25.7354,82.4309
26.0513,94.7655
31.3414,76.6285
17.9,83.3588
21.5427,87.4662
23.4991,91.5736
27.3531,94.3944
20.2969,74.748
11.4575,76.0842
19.1145,83.4825
25.3928,74.3521
24.1511,77.3956
27.0678,94.2459
10.8488,78.8554
17.43,82.81
26.6,94.02
10.54,76.05
18.73,75.23
25.62,83.67
22.41,71.31
19.17,83.65
34.61,73.2
20.19,73.82
32.89,73.88
27.59,81.52
14.13,79.93
18.1,81.53
26.26,94.02
22.02,72.25
21.03,77.52
20.05,81.86
14.94,78.16
23.92,91.23
22.63,88.49
31.24,76.53
22.68,70.93
20.91,86.4
15.71,79.88
12.73,79.7
20.45,86.2
27.58,95.26
10.39,76.31
10.76,78.72
25.18,91.54
16.65,81.38
22.044,94.55
27.5,89.79
15.71,78.23
11.47,77.85
30.18,74.77
15.22,79.48
33.53,76.12
26.235,92.25
26.73,82.84
25.965,76.05
9.88,78.47
22.306,88.34
20.651,86.0
26.59,92.18
26.376,86.24
28.524,80.93
26.5659,92.44
30.1135,78.85
31.3,76.85
26.8,93.63
32.714,76.61
27.387,94.92
33.1767,76.41
10.7121,79.18
21.8734,70.76
26.2074,82.62
26.8946,93.75
118.278,788.55
27.464,95.607
27.068,93.95
17.654,80.34
10.489,79.004
